PROYEK :								
								
Patok		Koordinat		Azimuth			Jarak	Tinggi atas
Berdiri	Dibidik	X	Y	jam	mnt	dtk	datar	tanah
								
-1								
	P47	6590.81	8280.12	28	42		24.581	10.101
1								10.103
	2			292	10		174.57	8.503
	"*,asprt"			290	4		28.445	8.691
-1								
2								8.498
	3			284	7		84.545	8.258
-1								
3								8.348
	"1,jlsp"			282	82		129.995	7.836
	2jlsp			278	24		226.996	7.778
	3			173	22		74.995	8.116
	4jlsp			278	37		326.598	7.708
	5			176	26		189.398	7.962
	6			189	28		230.999	8.23
	7			210	27		220.198	7.963
	8			224	8		76.345	8.124
	9			233	57		197.991	7.977
	10			249	31		137.998	8.186
-1								
P44		6671.76	8556.82					10.402
	1			85	14		20.95	8.897
	2			269	29		12.963	8.931
	"3,as.slrn"			269	27		24.779	8.28
	4			272	10		61.732	9.074
-1								
4								9.854
	"1,swh"			263	6		75.983	8.475
	"2,swh"			262	51		136.589	8.092
	3			335	40		43.569	8.67
-1								
"2,swh"								7.942
	1			275	56		44.996	7.898
	2			278	2		145.999	7.65
	3			180	65		69.998	7.91
	4			220	19		70.797	7.864
	5			272	2		254.997	7.427
	6			198	55		140.8	7.991
	7			182	44		160	7.984
	8			272	25		390.998	7.521
	9			168	7		176	8.012
	10			159	11		99.999	7.968
	11			259	55		240.198	7.688
	12			133	34		85	8.119
	13			240	8		280.998	7.663
	14			30	23		75.999	8.118
	15			235	50		368.998	7.95
	16			224	4		242.997	7.968
	17			8	45		177	8.114
	18			207	43		234.999	7.438
	19			340	47		150	8.099
	20			195	43		231	7.615
	21			319	53		186.999	7.882
	22			331	10		202.999	7.904
	23			335	18		361.6	8.013
	24			352	31		203.2	8.14
	25			1	56		151.6	8.141
	26			356	31		275	8.157
	27			344	24		301	8.054
	28			350	4		293	8.061
-1								
P56		5929.11	7829.56					8.079
	"1,asslrn"			148	40		146	7.517
	"2,swh"			84	32		213	8.058
	"3,swh"			167	42		113	7.88
	"4,swh"			70	14		203	8.026
	5			201	3		102.995	7.625
	6			46	38		205	8.005
	7			220	10		124.994	7.508
	8			227	27		65.195	7.794
	9			239	30		126.998	7.427
	10			17	11		192.2	7.832
	11			291	59		95.992	7.478
	12			319	43		107.596	7.655
	13			347	32		236.597	7.518
	14			10	26		81.193	7.612
	15			77	30		74.395	7.738
	16			330	12		192.2	7.776
	17			117	7		91.193	7.548
-1								
P52		6266.25	7921.39					9.12
	1			2	27		71.186	8.391
	2			11	32		155.994	8.431
	3			240	2		66.382	8.304
	4			296	15		149.791	8.252
	5			326	34		72.987	8.408
	6			314	7		167.992	8.261
	7			317	2		204.587	7.778
	8			321	13		263.389	7.699
-1								
P57		5719.51	7990.55					8.031
	8			200	48		120.392	7.2
	9			122	22		88.993	7.378
	10			18	5		97	7.725
	11			125	42		87.198	7.724
	12			48	52		117.399	7.808
	13			52	42		52.798	7.643
	14			210	14		60.997	7.737
	15			34	21		180.399	7.797
-1								
15								7.797
	1			101	5		96.197	7.658
	2			102	33		196.798	7.59
	3			72	15		222.999	7.643
	4			54	32		126.396	7.463
	5			12	31		76.995	7.512
	8			23	2		189.198	7.557
	9			44	18		238.999	7.675
	10			60	31		324	7.974
	11			12	28		260.999	7.7
-1								
P58		5462.99	8129.80					8.046
	1			141	26		162.598	7.411
	2			119	39		92.198	7.702
	3			161	16		166.994	7.259
	4			79	8		123.597	7.52
	5			186	18		144.194	7.308
	6			59	51		212.199	7.575
	7			227	19		144.396	7.517
	8			298	50		201.398	7.445
	9			238	53		92.59	7.288
	10			40	48		163.8	7.94
	11			320	1		64.199	8.007
	12			7	55		152.6	7.598
	13			340	22		74.995	7.62
	14			223	15		205.199	7.694
	15			345	2		200.399	7.665
-1								
P60		5295.20	8460.51					8.003
	1			168	13		200.199	7.697
	2			217	13		125.999	7.833
	3			165	22		147	7.749
	4			235	19		45.997	7.532
	"5,tnhtingg"			138	35		155.936	8.68
	6			121	21		179	7.611
	7			277	2		66.993	7.5
	8z			96	23		198.6	7.99
	9			275	35		155.998	7.618
	10			185	35		250.199	7.799
	11			208	25		171.999	7.713
	12			216	49		280.999	7.591
	13			237	43		189.999	7.721
	14			252	15		222.999	7.774
	15			270	26		217.198	7.531
	16			293	45		100.198	7.668
	17			301	1		185.2	7.894
	18			315	51		156	8.072
	19			334	15		162	8.116
	20			42	24		97.199	7.824
-1								
8z								7.99
	9z			94	15		240	8.268
-1								
9z								8.268
	"10,tpsal"			54	2		128.197	9
	1			287	4		215.997	7.814
	2			262	49		214.996	7.792
	3			292	29		139.198	8.182
	4			253	23		127	7.946
	5			296	15		93.995	8.012
	6			228	55		65.999	8.015
	7			198	58		94.999	7.922
	8			314	9		50.997	8.297
-1								
"10,tpsal"								9
	11z			18	1		80.2	9.2
-1								
11z								9.2
	12z			16	35		109.598	8.92
-1								
12z								8.92
	13z			15	42		174.2	8.84
-1								
13z								8.84
