z	q	yl	T	a	L1	L2	L3	L4	L5	t1	t2	
2.00	500	0.30	1.09	0.03	6.00	0.60	2.65	2.65	3.98	0.80	1.19	
	750	0.39	1.37	0.05	6.00	0.78	2.78	2.78	4.89	0.80	1.25	
	1000	0.47	1.61	0.06	6.00	0.94	2.91	2.91	5.71	0.80	1.31	
	1250	0.55	1.84	0.08	6.00	1.09	3.02	3.02	6.46	0.80	1.36	
	1500	0.62	2.05	0.10	6.00	1.23	3.12	3.12	7.15	0.80	1.41	
	1750	0.68	2.24	0.11	6.00	1.36	3.22	3.22	7.81	0.80	1.45	
	2000	0.74	2.43	0.13	6.00	1.49	3.32	3.32	8.44	0.80	1.49	
	2250	0.80	2.61	0.14	6.00	1.61	3.41	3.41	9.04	0.80	1.53	
	2500	0.86	2.79	0.16	6.00	1.72	3.49	3.49	9.62	0.80	1.57	
	2750	0.92	2.95	0.17	6.00	1.84	3.58	3.58	10.08	0.80	1.61	
	3000	0.97	3.12	0.19	6.00	1.94	3.66	3.66	10.72	0.80	1.65	
2.50	500	0.30	1.14	0.03	7.50	0.60	3.20	3.20	4.23	1.00	1.44	
	750	0.39	1.42	0.04	7.50	0.78	3.33	3.33	5.14	1.00	1.50	
	1000	0.47	1.66	0.06	7.50	0.94	3.46	3.46	5.96	1.00	1.56	
	1250	0.55	1.89	0.07	7.50	1.09	3.57	3.57	6.71	1.00	1.61	
	1500	0.62	2.10	0.09	7.50	1.23	3.67	3.67	7.40	1.00	1.65	
	1750	0.68	2.29	0.10	7.50	1.36	3.77	3.77	8.06	1.00	1.70	
	2000	0.74	2.48	0.11	7.50	1.49	3.87	3.87	8.69	1.00	1.74	
	2250	0.80	2.66	0.13	7.50	1.61	3.96	3.96	9.29	1.00	1.78	
	2500	0.86	2.84	0.14	7.50	1.72	4.04	4.04	9.87	1.00	1.82	
	2750	0.92	3.00	0.16	7.50	1.84	4.13	4.13	10.43	1.00	1.86	
	3000	0.97	3.17	0.17	7.50	1.94	4.21	4.21	10.97	1.00	1.89	
3.00	500	0.30	1.19	0.03	9.00	0.60	3.75	3.75	4.48	1.20	1.69	
	750	0.39	1.47	0.04	9.00	0.78	3.88	3.88	5.39	1.20	1.75	
	1000	0.47	1.71	0.05	9.00	0.94	4.01	4.01	6.21	1.20	1.80	
	1250	0.55	1.94	0.07	9.00	1.09	4.12	4.12	6.96	1.20	1.85	
	1500	0.62	2.15	0.08	9.00	1.23	4.22	4.22	7.65	1.20	1.90	
	1750	0.68	2.34	0.09	9.00	1.36	4.32	4.32	8.31	1.20	1.94	
	2000	0.74	2.53	0.10	9.00	1.49	4.42	4.42	8.94	1.20	1.99	
	2250	0.80	2.71	0.12	9.00	1.61	4.51	4.51	9.54	1.20	2.03	
	2500	0.86	2.89	0.13	9.00	1.72	4.59	4.59	10.12	1.20	2.07	
	2750	0.92	3.05	0.14	9.00	1.84	4.68	4.68	10.68	1.20	2.10	
	3000	0.97	3.22	0.15	9.00	1.94	4.76	4.76	11.22	1.20	2.14	
3.50	500	0.30	1.24	0.02	10.50	0.60	4.30	4.30	4.73	1.40	1.93	
	750	0.39	1.52	0.04	10.50	0.78	4.43	4.43	5.64	1.40	2.00	
	1000	0.47	1.76	0.05	10.50	0.94	4.56	4.56	6.46	1.40	2.05	
	1250	0.55	1.99	0.06	10.50	1.09	4.67	4.67	7.21	1.40	2.10	
	1500	0.62	2.20	0.07	10.50	1.23	4.77	4.77	7.90	1.40	2.15	
	1750	0.68	2.39	0.08	10.50	1.36	4.87	4.87	8.56	1.40	2.19	
	2000	0.74	2.58	0.10	10.50	1.49	4.97	4.97	9.19	1.40	2.23	
	2250	0.80	2.76	0.11	10.50	1.61	5.06	5.06	9.79	1.40	2.28	
	2500	0.86	2.94	0.12	10.50	1.72	5.14	5.14	10.37	1.40	2.31	
