z	q	yl	yd	L1	L2	L3	t1	t2	t3
0.50	500	0.44	0.57	1.00	0.88	4.15	0.70	0.35	0.50
	750	0.58	0.70	1.00	1.16	4.99	0.75	0.35	0.55
	1000	0.70	0.82	1.00	1.40	5.67	0.80	0.35	0.60
	1250	0.81	0.92	1.00	1.63	6.23	0.80	0.35	0.65
	1500	0.92	1.00	1.00	1.84	6.66	0.85	0.35	0.65
	1750	1.02	1.08	1.00	2.04	7.06	0.90	0.35	0.70
	2000	1.11	1.16	1.00	2.23	7.41	0.90	0.35	0.70
	2250	1.20	1.23	1.00	2.41	7.73	0.95	0.35	0.75
	2500	1.29	1.29	1.00	2.58	8.03	0.95	0.35	0.80
	2750	1.38	1.36	1.00	2.75	8.33	1.00	0.35	0.80
	3000	1.46	1.43	1.00	2.92	8.66	1.05	0.35	0.85
	3250	1.54	1.49	1.00	3.08	8.93	1.10	0.35	0.85
	3500	1.62	1.55	1.00	3.23	9.19	1.10	0.35	0.85
0.75	500	0.44	0.61	1.50	0.88	4.63	0.80	0.50	0.50
	750	0.58	0.76	1.50	1.16	5.64	0.85	0.50	0.55
	1000	0.70	0.89	1.50	1.40	6.46	0.90	0.50	0.60
	1250	0.81	1.00	1.50	1.63	7.17	0.95	0.50	0.65
	1500	0.92	1.10	1.50	1.84	7.78	1.00	0.50	0.70
	1750	1.02	1.20	1.50	2.04	8.33	1.05	0.50	0.75
	2000	1.11	1.28	1.50	2.23	8.79	1.05	0.45	0.75
	2250	1.20	1.36	1.50	2.41	9.23	1.10	0.45	0.80
	2500	1.29	1.43	1.50	2.58	9.63	1.10	0.45	0.85
	2750	1.38	1.50	1.50	2.75	9.99	1.15	0.45	0.85
	3000	1.46	1.57	1.50	2.92	10.32	1.15	0.45	0.90
	3250	1.54	1.63	1.50	3.08	10.64	1.20	0.45	0.90
	3500	1.62	1.70	1.50	3.23	10.93	1.20	0.45	0.95
1.00	500	0.44	0.64	2.00	0.88	4.98	0.95	0.65	0.50
	750	0.58	0.80	2.00	1.16	6.09	1.00	0.65	0.60
	1000	0.70	0.94	2.00	1.40	7.02	1.05	0.65	0.65
	1250	0.81	1.06	2.00	1.63	7.82	1.10	0.65	0.70
	1500	0.92	1.17	2.00	1.84	8.51	1.15	0.65	0.75
	1750	1.02	1.27	2.00	2.04	9.15	1.20	0.65	0.75
	2000	1.11	1.36	2.00	2.23	9.73	1.20	0.65	0.80
	2250	1.20	1.45	2.00	2.41	10.26	1.25	0.65	0.85
	2500	1.29	1.53	2.00	2.58	10.72	1.25	0.65	0.85
	2750	1.38	1.61	2.00	2.75	11.18	1.30	0.65	0.90
	3000	1.46	1.68	2.00	2.92	11.60	1.35	0.65	0.95
	3250	1.54	1.75	2.00	3.08	11.99	1.35	0.60	0.95
	3500	1.62	1.82	2.00	3.23	12.36	1.40	0.60	1.00
1.25	500	0.44	0.67	2.50	0.88	5.26	1.05	0.80	0.55
	750	0.58	0.84	2.50	1.16	6.45	1.10	0.80	0.60
	1000	0.70	0.98	2.50	1.40	7.44	1.15	0.80	0.65
	1250	0.81	1.11	2.50	1.63	8.30	1.20	0.80	0.70
	1500	0.92	1.22	2.50	1.84	9.08	1.25	0.80	0.75
	1750	1.02	1.33	2.50	2.04	9.76	1.30	0.80	0.80
	2000	1.11	1.42	2.50	2.23	10.40	1.35	0.80	0.85
	2250	1.20	1.52	2.50	2.41	11.00	1.40	0.80	0.85
	2500	1.29	1.61	2.50	2.58	11.55	1.40	0.80	0.90
	2750	1.38	1.69	2.50	2.75	12.07	1.45	0.80	0.95
	3000	1.46	1.77	2.50	2.92	12.55	1.45	0.80	0.95
	3250	1.54	1.84	2.50	3.08	12.99	1.50	0.80	1.00
	3500	1.62	1.92	2.50	3.23	13.42	1.55	0.80	1.05
1.50	500	0.44	0.69	3.00	0.88	5.49	1.15	0.95	0.55
	750	0.58	0.86	3.00	1.16	6.74	1.25	0.95	0.60
	1000	0.70	1.01	3.00	1.40	7.79	1.30	0.95	0.65
	1250	0.81	1.14	3.00	1.63	8.71	1.35	0.95	0.70
	1500	0.92	1.26	3.00	1.84	9.53	1.40	0.95	0.75
	1750	1.02	1.37	3.00	2.04	10.28	1.45	0.95	0.80
	2000	1.11	1.47	3.00	2.23	10.95	1.45	0.95	0.85
	2250	1.20	1.57	3.00	2.41	11.59	1.50	0.95	0.90
	2500	1.29	1.66	3.00	2.58	12.19	1.55	0.95	0.95
	2750	1.38	1.75	3.00	2.75	12.75	1.60	0.95	0.95
	3000	1.46	1.83	3.00	2.92	13.29	1.60	0.95	1.00
	3250	1.54	1.92	3.00	3.08	13.79	1.65	0.95	1.05
	3500	1.62	1.99	3.00	3.23	14.27	1.65	0.95	1.05
