Topo 05 - Cross		aa																																					
Jenis sal (0.Profil 1. Main System 2. Tersier 3. Drain) :				1																																			
Jenis Bangunan : 1.Bendung 2. Bagi  3.Sadap 4.Terjun 5.Gr Pembawa 6.Gr Pembuang 7.Jembatan 8.Talang 9.Siphon 10.Got miring 11.Pelimpah samping 12.Box Tersier 13.Box Kwarter 14.Jembatan org 15.Tempat cuci 16.Mandi Hewan 17.Penguras																																							
No Register :	(No. Register...)		"Model Gambar : 0 (Normal), 1 (Hanya Garis), 2 (Galian), 3 (Parapet), 4 (tanggul 2), 5 (Tanggul 1)"											"Keterangan cross : R (rumah), P (pagar), J (jalan), T (tanggul), D (dasar sal), L (lining), W (Rawa), S (sawah), K (kebun), B(boundary step methode),A (parapet)"																									
PATOK	X	Y	Z	Azimuth kiri			Dim sal	HWL1	X																														
				jam	mnt	dtk				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
jarak	Nama bangunan	Tipe bangunan	z (head loss)	El. dsr	El. tgl ka	El. tgl ki	Lining	HWL2	tnh asli																														
step methode(y/n/d)				El. dsr2	El. tgl ka2	El. tgl ki2	K	Water level	Bed level																														
BTH01	5000	10000	10				1	9	-8.35	10.016	10.041	7.561	7.547	9.741	9.79	9.747	7.647	7.54	7.872	7.473																			
	BB0	1	0.2							-25	-9.3	-8.9	-7.8	-7.4	0	0.6	1	5.4	15.6	27.8																			
											tl	dl	dl	tl						r																			
P1	5050.901	9999.366	10.885				1		-1.6	11.967	11.847	7.361	7.347	10.656	10.635	10.604	8.161	8.142	8.242	8.468																			
							1			-25	-2.8	-2.2	-1	-0.5	0	7.5	8	15.4	20.8	26.4																			
											tl	dl	dl	tl																									
HP02	5084.754	10006.441	11.309				1		-8.35	12	11.804	8.694	8.67	10.898	10.921	10.947	7.97	7.99	8.472	8.861																			
							1			-20	-9.5	-8.9	-7.8	-7.4	0	0.6	1	13.8	17.6	26																			
											tl	dl	dl	tl																									
P2	5100.117	10012.599	11.15				1		-8.35	11.706	11.804	8.694	8.67	10.898	10.921	10.947	7.97	7.99	8.472	8.861																			
							4			-30	-9.5	-8.9	-7.8	-7.4	0	0.6	1	13.8	17.6	26																			
											t	d	d	t																									
P3	5150.288	10022.111	10.15				1		-8.45	10.678	10.47	8.016	8.094	9.294	9.831	9.27	7.848	7.916	7.704	7.676																			
							4			-30	-9.4	-9	-7.9	-7.4	0	0.6	1	13.4	17.8	30.6																			
											t	d	d	t																									
P4	5199.208	10011.302	9.798				1		-1.45	11.048	10.67	8.114	8.761	9.498	9.568	9.504	7.761	7.478	7.504	7.662																			
							4			-25	-2.4	-2.1	-0.8	-0.5	0	7.5	8	15.6	21.8	35.4																			
											t	d	d	t																									
P5	5240.348	9981.868	9.902				1		-1.5	10.489	11.67	8.769	8.804	9.598	9.652	9.594	7.98	7.747	7.804	7.761																			
							8			-25	-2.6	-2.2	-0.8	-0.4	0	7.6	8	10.4	15.8	28.4																			
											t	d	d	t																									
P6	5276.597	9947.806	9.851				2		-1.4	8.494	8.69	8.116	8.104	9.611	9.653	9.598	8.261	8.29	8.67	8.594	8.704	8.417																	
	BB 1	2	0.1				8			-25	-2.2	-1.8	-1	-0.6	0	7.4	7.8	8.7	9	15.6	24.4	38.4																	
											t	d	d	t																									
P7	5312.28	9912.354	9.783				3		-8.1	8.316	8.204	7.511	7.504	9.698	9.786	9.74	7.602	7.65	8.404	8.516																			
							8			-25	-8.9	-8.6	-7.6	-7.3	0	0.7	1	1.4	1.7	22.4																			
											t	d	d	t																									
P8	5351.412	9880.281	9.732				3		-1.6	8.34	8.204	7.67	7.67	8.47	8.484	8.398	7.994	7.817	8.047	8.206	8.142																		
							8			-25	-2.6	-2.2	-1	-0.6	0	7.4	7.8	8.4	8.8	13.6	27.6																		
											t	d	d	t																									
P9	5392.474	9851.228	9.815				3		-8	8.667	8.704	8.516	7.841	7.604	9.595	9.676	9.604	8.816	8.87	9.04	9.162	9.247																	
							8			-20.8	-14.2	-9	-8.6	-7.4	-7.2	0	0.8	1.4	2.5	2.9	13.8	26.4																	
												t	d	d	t																								
P10	5430.801	9818.5	9.915				4		-8.1	8.347	8.504	8.561	7.98	7.961	9.747	9.765	9.74	8.816	8.794	9.116	9.204	9.127																	
										-25	-13	-8.7	-8.4	-7.8	-7.4	0	0.6	1	2.2	2.6	13.8	27.6																	
												t	d	d	t																								
P11	5470.873	9789.157	10.264				4		-1.45	8.901	8.848	8.961	7.89	7.816	9.898	9.924	9.904	8.716	8.748	9.27	9.342	9.363																	
										-18.8	-10.2	-2.4	-2	-0.9	-0.5	0	7.5	7.8	8.9	10.5	17.4	29																	
												t	d	d	t																								
P12	5516.551	9767.889	9.601				4		-1.7	8.617	8.548	8.674	8.016	8.011	9.101	9.191	9.098	8.04	8.067	8.672	8.504	8.676																	
										-18.8	-11.2	-2.8	-2.4	-1	-0.6	0	7.4	7.8	8.2	8.6	10.8	28																	
												t	d	d	t																								
P13	5555.634	9736.097	10.649				4		-8.55	9.204	9.247	9.111	8.908	8.967	10.198	10.249	10.23	8.404	8.411	8.916	9.047	9.116																	
										-21.2	-13.4	-9.5	-9.2	-7.9	-7.5	0	0.5	0.9	2.1	2.5	12.7	30.4																	
												t	d	d	t																								
P14	5596.789	9706.346	10.151				4		-1.7	9.375	9.463	9.392	8.824	8.861	10.096	10.001	10.03	8.862	8.804	9.204	9.196	9.222																	
										-18.8	-13.2	-2.8	-2.4	-1	-0.6	0	7.4	7.8	8.9	9.3	19.4	28.2																	
												t	d	d	t																								
P15	5614.278	9658.868	10.112				4		-1.9	9.37	9.316	9.276	8.715	8.742	10.035	9.812	10.008	8.568	8.572	9.046	9.27	9.116																	
										-18.8	-10.4	-2.8	-2.4	-1.4	-1	0	7	7.4	8.4	8.8	13.6	26.6																	
												t	d	d	t																								
P16	5627.675	9614.866	9.806				4		-8.65	8.706	8.694	8.662	8.026	8.04	9.498	9.506	9.511	8.161	8.104	8.916	8.972	8.706																	
										-29.8	-15.6	-9.5	-9.2	-8.1	-7.3	0	0.7	1	2.2	2.4	15.6	28.6																	
												t	d	d	t																								
P17	5661.257	9577.016	9.82				4		-8.35	9.046	9.1	9.104	8.517	8.526	9.604	9.631	9.624	8.304	8.312	9.017	9.116	9.27																	
										-24.4	-15	-9.2	-8.9	-7.8	-7.5	0	0.5	0.8	2.1	2.4	15.6	27																	
												t	d	d	t																								
