Canal 01 - Dimension																												DR	1.5						
JackCad Form																												Others							
ID	Petak	Saluran	A	Q	b	h	w	m	k	n	V	i	Lebar	Lebar	m	w	 Lining	 Berm	 Berm W	 Berm H	 Berm W	 Berm H	b jln	b jln	 Pave	 Slope		Lining	Kriteria	Hidrolis			Kontrol		
	Tersier		(ha)	(lt/dt)	(m)	(m)	(m)		(m1/3/dt)		(m/dt)		tgl kiri	tgl kanan	luar	lining	Thick	limit	dalam	dalam	luar	luar	kanan	kiri	Thicknes	jln		(E/M/C)	n	A	P	R	Q	FR	IR(1/2)
																																			
1		Primer BB 0 - BB 1	613.44	920	1.30	1.30	0.50	1.50	35	1.00	0.555	0.000400	3.00	1.00	1.50	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1.4	4.23 	5.987216658	0.706	2344.188761	0.25 	0.000336
2		Sek. BB 1 - BBA 1	163.44	245	0.85	0.71	0.40	1.50	35	1.20	0.379	0.000400	3.00	1.00	1.50	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	1.36 	3.409941406	0.399	515.5988905	0.16 	0.000253
3		Sek. BBA 1 - BBA 2	45.52	68	1.50	0.70	0.40	1.50	35	2.14	0.407	0.000400	3.00	1.00	1.50	0.20	0.50	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	1.79 	4.023885893	0.444	726.771636	0.13 	0.000266
4		Muka BBA 2 - BMBA 2ki	21.71	33	1.50	0.80	0.40	1.50	35	1.88	0.426	0.000380	3.00	1.00	1.50	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	2.16 	4.38444102	0.493	919.2633375	0.14 	0.000267
5		Muka BBA 1 - BMBA 1ka2	39.21	59	0.50	0.38	0.40	1.00	35	1.32	0.233	0.000350	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	2.00	0.00	0.15	0.05000		E	1	0.33 	1.574802307	0.212	77.93427258	0.09 	0.000161
6																																			
7	BA 1 ka3	Tersier BA1 - T1	32.49	49	0.40	0.36	0.40	1.00	35	1.11	0.368	0.000990	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.27 	1.418233765	0.193	100.5959701	0.16 	0.000435
8	BA 1 ka3	Tersier T1-K1	24.05	36	0.35	0.32	0.40	1.00	35	1.09	0.223	0.000427	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.21 	1.25509668	0.171	47.73883646	0.10 	0.000176
