Topo 02 - Polygon Calculation																																																						
HITUNGAN   POLIGON																																																						
																																																						
Proyek	:															Referensi	Titik	X	Y	Z			DX	0.000																														
Jalur	:															awal	K20	10000.000   	10000.000   	29.966			DY	0.000																														
Dihitung Oleh 	:															BS	K19	10050.000   	10050.000   	(Nilai Z Back Sight...)			DZ	-11.724																														
Tanggal	:																azimuth	" 45° 0' 0"""					Koreksi sudut  :	Y																														
																akhir	K30	9644.001   	9646.908   	(Nilai Z Berdiri Akhir...)			Koreksi jarak  :	Y																														
																	K55	9536.413   	9539.568   	21			Koreksi Elevasi	Y																														
																	azimuth	" 225° 3' 58"""																																				
																																																						
No	Tinggi alat	Tinggi target	Titik Poligon		Sudut Horisontal	Sudut Vertikal	Koreksi sudut	Azimuth		Jarak Miring	Jarak Datar	DX	Koreksi X	DY	Koreksi Y	DZ	Koreksi Z	Koordinat   (m)			Patok	Keterangan			Keterangan Tambahan																													
									+ koreksi									Absis  (X)	Ordinat  (Y)	Z		Poligon	WP	BM/CP			No	Point Name	Instrument Height (m)	Instrument Centering Error (m)	Instrument Height Error (m)	Reflector Height Error (m)	Reflector Centering Error (m)	#	Point From	Point To	Reflector Height (m)	Horizontal Circle	Slope Distance (m)	Zenith Angle	Code	Type												
1	1.175	1.45	K20	K19	"359°59'58"""	"89°51'16"""		" 45° 0' 0"""	" 45° 0' 0"""	49.812  	49.805  							10000.00   	10000.00   	29.966   	K20				K19		2	K20	1.175	0	0	0.002	0.001	2	K20	K19	1.45	"359°59'58"""	49.812	"89°51'16"""	K19	SS												
		1.45		4	"268°31'07"""	"91°09'21"""	0''	" 313° 51' 59"""	" 313° 51' 59"""	11.369  	11.367  	-8.19  	0.00  	7.88  	0.00  	-0.50  	0.00  	9991.805   	10007.877   	29.463   	4				C									4	1	4	1.45	"268°31'07"""	11.369	"91°09'21"""	C	SS												
		1.45		5	"268°31'08"""	"95°34'28"""	0''	" 313° 52' 0"""	" 313° 52' 0"""	3.697  	3.683  	-2.65  	0.00  	2.55  	0.00  	-0.60  	0.00  	9997.345   	10002.552   	29.364   	5				C									6	1	5	1.45	"268°31'08"""	3.697	"95°34'28"""	C	SS												
		1.45		6	"88°15'27"""	"122°11'47"""	0''	" 133° 55' 59"""	" 133° 55' 59"""	4.144  	3.514  	2.53  	0.00  	-2.44  	0.00  	-2.47  	0.00  	10002.530   	9997.562   	27.494   	6				C									8	1	6	1.45	"88°15'27"""	4.144	"122°11'47"""	C	SS												
		1.45		7	"88°15'10"""	"105°36'14"""	0''	" 133° 55' 52"""	" 133° 55' 52"""	8.069  	7.790  	5.61  	0.00  	-5.40  	0.00  	-2.38  	0.00  	10005.610   	9994.595   	27.589   	7				C									10	1	7	1.45	"88°15'10"""	8.069	"105°36'14"""	C	SS												
		2		8	"88°15'17"""	"111°12'22"""	0''	" 133° 55' 59"""	" 133° 55' 59"""	13.271  	12.387  	8.92  	0.00  	-8.59  	0.00  	-5.59  	0.00  	10008.920   	9991.406   	24.378   	8				T									12	1	8	2	"88°15'17"""	13.271	"111°12'22"""	T	SS												
		2		9	"88°15'13"""	"111°55'58"""	0''	" 133° 55' 55"""	" 133° 55' 55"""	13.421  	12.522  	9.02  	0.00  	-8.69  	0.00  	-5.65  	0.00  	10009.018   	9991.312   	24.313   	9				D									14	1	9	2	"88°15'13"""	13.421	"111°55'58"""	D	SS												
		2		10	"88°15'11"""	"111°27'58"""	0''	" 133° 55' 53"""	" 133° 55' 53"""	13.669  	12.751  	9.18  	0.00  	-8.85  	0.00  	-5.75  	0.00  	10009.183   	9991.153   	24.216   	10				D									16	1	10	2	"88°15'11"""	13.669	"111°27'58"""	D	SS												
		2		11	"88°15'12"""	"110°32'53"""	0''	" 133° 55' 54"""	" 133° 55' 54"""	13.738  	12.907  	9.29  	0.00  	-8.95  	0.00  	-5.53  	0.00  	10009.295   	9991.045   	24.435   	11				T									18	1	11	2	"88°15'12"""	13.738	"110°32'53"""	T	SS												
		2		12	"88°15'07"""	"105°12'44"""	0''	" 133° 55' 59"""	" 133° 55' 59"""	17.622  	17.019  	12.26  	0.00  	-11.81  	0.00  	-5.40  	0.00  	10012.256   	9988.192   	24.570   	12				C									20	1	12	2	"88°15'07"""	17.622	"105°12'44"""	C	SS												
		2		13	"88°15'07"""	"105°56'07"""	0''	" 133° 55' 59"""	" 133° 55' 59"""	18.892  	18.240  	13.14  	0.00  	-12.65  	0.00  	-5.75  	0.00  	10013.135   	9987.345   	24.219   	13				T1L									22	1	13	2	"88°15'07"""	18.892	"105°56'07"""	T1L	SS												
		2.5		14	"88°15'12"""	"109°16'19"""	0''	" 133° 55' 54"""	" 133° 55' 54"""	24.912  	23.540  	16.95  	0.00  	-16.33  	0.00  	-9.48  	0.00  	10016.953   	9983.668   	20.488   	14				D1L									24	1	14	2.5	"88°15'12"""	24.912	"109°16'19"""	D1L	SS												
		2.5		15	"88°15'08"""	"104°37'18"""	0''	" 133° 56' 0"""	" 133° 56' 0"""	32.525  	31.542  	22.72  	0.00  	-21.88  	0.00  	-9.26  	0.00  	10022.715   	9978.115   	20.707   	15				D1L									26	1	15	2.5	"88°15'08"""	32.525	"104°37'18"""	D1L	SS												
		2.5		16	"88°15'05"""	"99°54'43"""	0''	" 133° 55' 57"""	" 133° 55' 57"""	47.890  	47.292  	34.06  	0.00  	-32.81  	0.00  	-8.87  	0.00  	10034.057   	9967.189   	21.094   	16				D1L									28	1	16	2.5	"88°15'05"""	47.89	"99°54'43"""	D1L	SS												
		1.45		17	"88°14'58"""	"96°15'36"""	0''	" 133° 55' 0"""	" 133° 54' 60"""	53.073  	52.774  	38.02  	0.00  	-36.60  	0.00  	-5.90  	0.00  	10038.016   	9963.395   	24.065   	17				T1L									30	1	17	1.45	"88°14'58"""	53.073	"96°15'36"""	T1L	SS												
		1.45		18	"88°14'56"""	"93°10'34"""	0''	" 133° 54' 58"""	" 133° 54' 58"""	0.162  	0.162  	0.12  	0.00  	-0.11  	0.00  	-0.28  	0.00  	10000.117   	9999.888   	29.683   	18				C									32	1	18	1.45	"88°14'56"""	0.162	"93°10'34"""	C	SS												
		1.45		19	"88°14'58"""	"95°09'34"""	0''	" 133° 55' 0"""	" 133° 54' 60"""	54.846  	54.624  	39.35  	0.00  	-37.89  	0.00  	-5.20  	0.00  	10039.349   	9962.112   	24.767   	19				C									34	1	19	1.45	"88°14'58"""	54.846	"95°09'34"""	C	SS												
		1.45		20	"88°14'57"""	"95°09'53"""	0''	" 133° 54' 59"""	" 133° 54' 59"""	55.449  	55.225  	39.78  	0.00  	-38.30  	0.00  	-5.25  	0.00  	10039.782   	9961.695   	24.713   	20				Ji									36	1	20	1.45	"88°14'57"""	55.449	"95°09'53"""	Ji	SS												
		1.45		21	"88°14'59"""	"94°52'06"""	0''	" 133° 55' 1"""	" 133° 55' 1"""	59.516  	59.368  	42.77  	0.00  	-41.18  	0.00  	-4.46  	0.00  	10042.766   	9958.821   	25.503   	21				Ji									38	1	21	1.45	"88°14'59"""	59.516	"94°52'06"""	Ji	SS												
		1.45		22	"88°14'57"""	"94°34'54"""	0''	" 133° 54' 59"""	" 133° 54' 59"""	59.832  	59.681  	42.99  	0.00  	-41.40  	0.00  	-4.52  	0.00  	10042.992   	9958.605   	25.447   	22				C									40	1	22	1.45	"88°14'57"""	59.832	"94°34'54"""	C	SS												
		1.45		23	"88°15'00"""	"94°35'11"""	0''	" 133° 55' 52"""	" 133° 55' 52"""	59.947  	59.795  	43.06  	0.00  	-41.49  	0.00  	-4.54  	0.00  	10043.063   	9958.515   	25.422   	23				C									42	1	23	1.45	"88°15'00"""	59.947	"94°35'11"""	C	SS												
		1.45		24	"88°14'59"""	"95°09'08"""	0''	" 133° 55' 1"""	" 133° 55' 1"""	60.045  	59.802  	43.08  	0.00  	-41.48  	0.00  	-5.67  	0.00  	10043.078   	9958.520   	24.299   	24				T									44	1	24	1.45	"88°14'59"""	60.045	"95°09'08"""	T	SS												
